OrderID,CustomerID,ProductID,OrderDate,Quantity,OrderValue
O00001,C028,P006,2024-05-23,416,445.94
O00002,C040,P037,2024-05-03,569,435.95
O00003,C017,P045,2024-03-17,777,95.58
O00004,C023,P005,2024-06-22,662,317.45
O00005,C014,P045,2024-05-11,212,266.39
O00006,C010,P035,2024-04-17,652,334.1
O00007,C010,P015,2024-05-10,546,99.32
O00008,C038,P027,2024-04-05,61,488.55
O00009,C015,P045,2024-02-20,671,279.32
O00010,C029,P046,2024-03-11,301,118.55
O00011,C012,P009,2024-05-05,329,135.55
O00012,C032,P021,2024-07-12,603,384.55
O00013,C007,P007,2024-07-02,486,110.29
O00014,C025,P048,2024-05-26,679,427.75
O00015,C005,P033,2024-04-24,427,81.73
O00016,C029,P029,2024-03-09,526,425.47
O00017,C013,P008,2024-04-08,754,192.15
O00018,C034,P004,2024-02-20,658,407.34
O00019,C030,P033,2024-02-06,819,227.49
O00020,C008,P006,2024-07-18,580,386.21
O00021,C037,P011,2024-01-17,621,153.73
O00022,C018,P050,2024-07-02,838,473.34
O00023,C018,P003,2024-06-24,907,108.77
O00024,C003,P043,2024-06-13,575,449.11
O00025,C022,P043,2024-02-27,618,453.9
O00026,C037,P030,2024-05-18,338,335.38
O00027,C024,P042,2024-02-24,362,77.35
O00028,C033,P021,2024-07-16,843,469.38
O00029,C011,P001,2024-03-15,356,324.94
O00030,C017,P040,2024-04-02,233,276.67
O00031,C030,P043,2024-04-09,397,245.07
O00032,C015,P049,2024-03-21,583,234.2
O00033,C034,P005,2024-05-23,369,486.24
O00034,C014,P049,2024-06-14,655,421.58
O00035,C020,P006,2024-06-21,932,498.26
O00036,C013,P032,2024-02-21,258,134.64
O00037,C026,P043,2024-02-14,360,427.73
O00038,C007,P039,2024-05-13,700,184.65
O00039,C036,P037,2024-03-14,111,395.57
O00040,C002,P034,2024-02-07,353,113.21
O00041,C015,P023,2024-04-29,674,311.7
O00042,C009,P006,2024-05-26,373,264.43
O00043,C033,P028,2024-06-20,886,466.64
O00044,C018,P046,2024-06-29,593,422.15
O00045,C037,P028,2024-02-11,131,412.55
O00046,C021,P010,2024-01-04,741,448.44
O00047,C002,P003,2024-04-24,173,308.69
O00048,C011,P019,2024-04-06,486,498.96
O00049,C010,P005,2024-04-05,693,348.9
O00050,C010,P023,2024-02-02,465,119.11
O00051,C015,P030,2024-03-15,474,410.0
O00052,C010,P047,2024-06-05,989,67.13
O00053,C023,P017,2024-04-17,425,462.79
O00054,C027,P032,2024-06-13,105,465.05
O00055,C004,P029,2024-04-22,98,80.2
O00056,C037,P024,2024-01-14,783,445.69
O00057,C023,P015,2024-05-03,980,278.44
O00058,C009,P022,2024-05-15,843,365.3
O00059,C017,P045,2024-05-22,260,256.52
O00060,C031,P042,2024-01-27,838,82.29
O00061,C036,P023,2024-06-22,924,469.88
O00062,C026,P040,2024-06-13,159,359.66
O00063,C031,P035,2024-07-02,132,275.55
O00064,C022,P033,2024-05-04,829,89.79
O00065,C038,P008,2024-05-20,591,333.75
O00066,C009,P016,2024-04-19,666,142.42
O00067,C018,P004,2024-05-12,565,341.54
O00068,C037,P024,2024-01-18,538,85.57
O00069,C012,P049,2024-04-12,158,54.31
O00070,C002,P017,2024-01-13,975,269.23
O00071,C005,P037,2024-07-19,823,181.13
O00072,C022,P028,2024-04-21,578,202.64
O00073,C003,P004,2024-05-31,248,455.54
O00074,C035,P027,2024-01-02,946,78.46
O00075,C028,P014,2024-03-18,653,87.03
O00076,C030,P041,2024-02-06,350,128.0
O00077,C033,P013,2024-04-30,506,493.43
O00078,C009,P016,2024-04-18,163,375.66
O00079,C031,P001,2024-03-11,145,487.21
O00080,C002,P048,2024-04-10,429,447.43
O00081,C011,P040,2024-06-29,181,231.33
O00082,C011,P015,2024-05-30,447,110.31
O00083,C015,P019,2024-01-25,194,440.88
O00084,C033,P032,2024-03-05,497,153.14
O00085,C038,P033,2024-02-07,453,499.83
O00086,C008,P006,2024-05-08,614,58.03
O00087,C038,P026,2024-01-31,754,284.32
O00088,C013,P024,2024-03-25,654,81.05
O00089,C023,P033,2024-07-08,241,353.11
O00090,C032,P047,2024-03-04,338,250.98
O00091,C034,P010,2024-05-13,354,199.07
O00092,C008,P039,2024-06-07,583,274.26
O00093,C014,P014,2024-01-29,631,104.2
O00094,C010,P013,2024-05-05,830,108.56
O00095,C011,P042,2024-05-12,830,151.27
O00096,C030,P021,2024-02-16,363,91.7
O00097,C034,P031,2024-02-22,100,217.6
O00098,C019,P019,2024-03-22,77,408.7
O00099,C020,P032,2024-03-26,380,208.35
O00100,C019,P008,2024-02-16,993,140.65
O00101,C003,P031,2024-06-07,85,408.45
O00102,C020,P038,2024-02-10,678,477.09
O00103,C007,P001,2024-03-12,756,261.38
O00104,C031,P036,2024-01-26,520,281.4
O00105,C032,P049,2024-04-17,414,382.84
O00106,C025,P001,2024-06-25,50,174.18
O00107,C021,P049,2024-07-17,361,203.83
O00108,C019,P009,2024-06-04,558,437.69
O00109,C030,P014,2024-02-28,515,143.44
O00110,C037,P023,2024-04-11,255,252.96
O00111,C020,P018,2024-03-06,633,477.21
O00112,C008,P011,2024-07-04,989,121.55
O00113,C021,P005,2024-05-31,347,342.15
O00114,C016,P027,2024-06-12,661,122.99
O00115,C004,P038,2024-01-12,148,399.43
O00116,C033,P024,2024-03-29,291,438.63
O00117,C004,P009,2024-07-09,665,268.01
O00118,C033,P037,2024-01-05,413,156.24
O00119,C039,P031,2024-07-19,72,472.53
O00120,C017,P003,2024-06-18,128,142.39
O00121,C018,P036,2024-05-06,638,226.41
O00122,C036,P009,2024-05-07,488,426.48
O00123,C025,P039,2024-05-05,179,168.31
O00124,C001,P022,2024-01-18,787,462.32
O00125,C039,P042,2024-06-10,299,100.26
O00126,C019,P043,2024-01-06,357,399.56
O00127,C019,P002,2024-06-04,385,67.13
O00128,C021,P007,2024-07-08,391,313.44
O00129,C001,P027,2024-06-03,829,77.31
O00130,C027,P041,2024-03-25,852,498.35
O00131,C001,P025,2024-04-28,127,57.98
O00132,C003,P004,2024-04-02,839,319.64
O00133,C007,P040,2024-05-04,693,213.5
O00134,C010,P036,2024-04-22,957,93.24
O00135,C017,P001,2024-05-03,621,326.84
O00136,C020,P031,2024-05-14,641,248.64
O00137,C014,P005,2024-06-17,852,356.24
O00138,C024,P048,2024-01-31,929,180.7
O00139,C005,P027,2024-07-10,356,146.55
O00140,C038,P034,2024-03-03,183,283.8
O00141,C025,P030,2024-03-01,51,68.24
O00142,C017,P007,2024-04-26,920,417.36
O00143,C027,P036,2024-05-20,853,111.79
O00144,C032,P047,2024-05-21,411,270.29
O00145,C038,P044,2024-01-25,604,296.08
O00146,C013,P004,2024-02-17,753,247.62
O00147,C023,P031,2024-06-26,898,297.16
O00148,C007,P025,2024-06-15,374,436.88
O00149,C007,P048,2024-03-05,869,138.44
O00150,C003,P047,2024-01-02,917,329.0
O00151,C011,P002,2024-02-11,467,181.54
O00152,C002,P027,2024-02-15,716,242.68
O00153,C040,P033,2024-02-14,296,237.53
O00154,C038,P041,2024-01-22,362,371.06
O00155,C002,P012,2024-07-04,927,276.41
O00156,C012,P039,2024-06-19,462,140.56
O00157,C033,P044,2024-07-11,54,129.49
O00158,C039,P042,2024-03-20,804,119.15
O00159,C036,P004,2024-07-15,286,83.54
O00160,C011,P011,2024-01-28,811,243.87
O00161,C034,P006,2024-06-13,766,402.65
O00162,C012,P038,2024-04-28,710,340.69
O00163,C030,P034,2024-03-29,251,240.9
O00164,C034,P007,2024-04-16,180,150.14
O00165,C015,P010,2024-03-24,912,197.29
O00166,C004,P003,2024-04-18,120,335.79
O00167,C007,P012,2024-05-18,989,455.83
O00168,C031,P014,2024-01-05,587,286.83
O00169,C004,P005,2024-05-23,694,113.8
O00170,C009,P017,2024-01-23,690,139.47
O00171,C027,P023,2024-07-17,180,477.39
O00172,C004,P005,2024-01-25,82,249.32
O00173,C018,P022,2024-06-12,232,458.56
O00174,C023,P046,2024-01-13,102,65.49
O00175,C006,P005,2024-05-27,672,332.89
O00176,C008,P021,2024-04-28,566,62.66
O00177,C008,P006,2024-04-05,760,78.45
O00178,C002,P043,2024-03-23,766,186.25
O00179,C011,P047,2024-02-12,924,204.61
O00180,C008,P011,2024-01-20,977,276.65
O00181,C022,P004,2024-07-18,583,131.77
O00182,C003,P013,2024-04-29,629,74.74
O00183,C016,P036,2024-05-04,58,247.47
O00184,C007,P019,2024-05-30,669,479.49
O00185,C007,P039,2024-05-06,145,64.18
O00186,C008,P020,2024-04-04,175,165.12
O00187,C035,P033,2024-06-29,862,499.8
O00188,C021,P049,2024-05-06,469,78.9
O00189,C023,P036,2024-05-24,282,407.2
O00190,C035,P047,2024-03-16,295,202.69
O00191,C005,P011,2024-06-01,528,201.06
O00192,C027,P048,2024-02-28,239,185.53
O00193,C040,P040,2024-05-01,811,75.18
O00194,C015,P044,2024-02-16,247,473.59
O00195,C020,P031,2024-06-18,395,56.08
O00196,C037,P005,2024-07-17,965,267.81
O00197,C023,P047,2024-02-19,481,136.15
O00198,C025,P018,2024-06-14,913,65.79
O00199,C024,P034,2024-06-10,388,277.7
O00200,C007,P035,2024-01-19,430,207.6
O00201,C006,P031,2024-05-01,73,249.13
O00202,C024,P031,2024-04-25,486,498.65
O00203,C009,P030,2024-04-20,123,76.26
O00204,C025,P007,2024-06-30,84,178.28
O00205,C003,P016,2024-07-18,71,262.75
O00206,C023,P015,2024-06-29,625,225.74
O00207,C033,P005,2024-02-06,379,330.17
O00208,C035,P002,2024-04-29,59,374.52
O00209,C036,P025,2024-06-15,961,102.4
O00210,C039,P001,2024-04-19,113,419.67
O00211,C016,P017,2024-03-22,781,259.86
O00212,C004,P048,2024-03-21,499,183.9
O00213,C007,P017,2024-05-14,356,466.9
O00214,C038,P017,2024-03-01,337,234.82
O00215,C011,P026,2024-06-03,458,128.55
O00216,C014,P039,2024-07-16,965,204.72
O00217,C034,P007,2024-05-29,781,421.01
O00218,C015,P013,2024-05-16,336,461.36
O00219,C020,P006,2024-06-06,376,462.2
O00220,C037,P048,2024-02-16,914,432.96
O00221,C030,P030,2024-02-10,532,497.13
O00222,C006,P013,2024-04-26,428,290.03
O00223,C027,P008,2024-06-03,989,414.3
O00224,C004,P006,2024-01-06,259,96.98
O00225,C032,P033,2024-03-03,505,80.37
O00226,C031,P043,2024-05-18,670,403.43
O00227,C034,P042,2024-06-19,917,310.58
O00228,C016,P004,2024-05-26,638,75.88
O00229,C029,P031,2024-07-18,194,418.63
O00230,C020,P004,2024-05-21,885,406.11
O00231,C001,P027,2024-06-04,241,335.03
O00232,C038,P050,2024-01-07,328,233.74
O00233,C026,P001,2024-04-08,392,447.67
O00234,C027,P034,2024-01-01,630,61.84
O00235,C024,P048,2024-02-16,428,380.36
O00236,C034,P050,2024-05-09,818,318.68
O00237,C030,P041,2024-02-20,622,168.5
O00238,C001,P017,2024-04-23,954,101.77
O00239,C012,P018,2024-01-07,891,104.3
O00240,C007,P032,2024-06-22,508,499.44
O00241,C032,P037,2024-02-18,698,248.19
O00242,C003,P037,2024-02-28,916,56.7
O00243,C013,P049,2024-02-27,107,102.15
O00244,C011,P022,2024-05-31,177,431.57
O00245,C028,P019,2024-05-14,508,58.8
O00246,C024,P048,2024-05-15,845,192.88
O00247,C014,P006,2024-02-13,304,401.11
O00248,C019,P046,2024-07-12,327,427.47
O00249,C023,P025,2024-01-31,416,73.3
O00250,C007,P021,2024-05-01,804,368.46
O00251,C001,P031,2024-01-08,312,299.63
O00252,C033,P010,2024-02-26,496,292.06
O00253,C006,P010,2024-01-15,85,115.01
O00254,C021,P010,2024-01-28,464,471.4
O00255,C004,P031,2024-02-14,725,465.2
O00256,C028,P044,2024-07-18,533,307.65
O00257,C032,P021,2024-07-01,745,258.1
O00258,C033,P028,2024-07-05,956,319.9
O00259,C010,P024,2024-04-24,66,413.15
O00260,C039,P030,2024-04-21,300,240.72
O00261,C029,P046,2024-05-11,708,368.63
O00262,C038,P045,2024-03-07,201,433.22
O00263,C014,P008,2024-06-17,697,205.99
O00264,C001,P041,2024-01-29,621,85.29
O00265,C033,P013,2024-05-06,130,498.18
O00266,C030,P005,2024-03-25,978,328.45
O00267,C013,P045,2024-05-31,839,234.43
O00268,C008,P031,2024-07-03,469,212.22
O00269,C006,P034,2024-05-09,851,279.53
O00270,C030,P025,2024-03-02,72,239.43
O00271,C029,P005,2024-06-15,185,478.43
O00272,C004,P029,2024-03-28,402,293.38
O00273,C013,P040,2024-05-26,169,411.25
O00274,C035,P011,2024-05-02,906,426.6
O00275,C018,P004,2024-04-17,852,296.1
O00276,C018,P043,2024-02-20,329,188.1
O00277,C004,P012,2024-03-11,957,282.86
O00278,C021,P038,2024-03-26,658,482.01
O00279,C033,P030,2024-01-15,513,98.72
O00280,C028,P025,2024-03-21,795,356.91
O00281,C032,P038,2024-03-21,51,429.23
O00282,C033,P005,2024-07-08,601,240.85
O00283,C013,P011,2024-05-13,112,54.29
O00284,C014,P036,2024-07-06,801,358.21
O00285,C019,P015,2024-03-25,505,51.5
O00286,C009,P026,2024-02-01,881,317.72
O00287,C034,P039,2024-02-15,520,341.68
O00288,C017,P037,2024-02-04,992,250.28
O00289,C040,P050,2024-01-24,745,148.59
O00290,C032,P031,2024-05-16,709,356.43
O00291,C007,P015,2024-01-12,154,60.02
O00292,C035,P028,2024-06-08,184,167.48
O00293,C006,P008,2024-02-20,985,191.31
O00294,C007,P035,2024-05-06,192,397.42
O00295,C009,P012,2024-03-26,937,255.19
O00296,C001,P026,2024-06-26,592,166.95
O00297,C028,P023,2024-04-18,929,237.86
O00298,C017,P003,2024-05-18,340,132.63
O00299,C038,P006,2024-07-01,710,77.98
O00300,C018,P038,2024-04-23,512,137.11
O00301,C024,P027,2024-03-17,557,489.22
O00302,C006,P045,2024-02-10,215,184.73
O00303,C029,P028,2024-05-21,705,451.28
O00304,C021,P023,2024-01-20,535,423.09
O00305,C009,P008,2024-07-09,744,161.62
O00306,C040,P006,2024-01-17,303,312.19
O00307,C034,P016,2024-04-06,871,315.9
O00308,C004,P011,2024-06-28,856,409.69
O00309,C037,P029,2024-02-10,493,268.58
O00310,C012,P050,2024-02-15,66,272.9
O00311,C005,P014,2024-01-22,424,62.47
O00312,C015,P013,2024-06-13,466,235.72
O00313,C038,P019,2024-07-11,888,323.74
O00314,C010,P032,2024-06-03,623,142.51
O00315,C031,P018,2024-05-01,353,270.66
O00316,C019,P022,2024-02-13,512,101.45
O00317,C022,P024,2024-05-26,327,304.54
O00318,C035,P017,2024-04-21,537,120.8
O00319,C026,P003,2024-04-26,316,81.06
O00320,C012,P035,2024-07-06,144,265.17
O00321,C032,P006,2024-01-29,444,491.81
O00322,C019,P018,2024-05-31,367,133.38
O00323,C013,P038,2024-05-23,437,145.93
O00324,C018,P032,2024-02-14,91,456.35
O00325,C011,P038,2024-03-20,747,346.08
O00326,C021,P047,2024-04-05,777,172.01
O00327,C008,P011,2024-04-30,100,66.39
O00328,C006,P025,2024-02-29,618,69.18
O00329,C025,P036,2024-01-12,235,171.48
O00330,C040,P041,2024-03-03,664,263.3
O00331,C026,P045,2024-04-22,543,485.45
