ShipmentID,OrderID,OriginPort,DestinationPort,Carrier,Mode,DepartureDate,ArrivalDate,StandardTransitDays,ActualTransitDays,Status
S00001,O00001,Shanghai,Los Angeles,Evergreen,Sea,2024-03-11,2024-03-30,18,19,Delayed
S00002,O00002,Hamburg,Antwerp,Maersk,Sea,2024-06-22,2024-07-03,5,11,Delayed
S00003,O00003,Busan,New York,Maersk,Sea,2024-01-08,2024-02-08,32,31,Delivered
S00004,O00004,Nhava Sheva,Houston,COSCO,Sea,2024-01-07,2024-02-12,30,36,Delayed
S00005,O00005,Singapore,Antwerp,Evergreen,Sea,2024-05-19,2024-06-24,32,36,Delayed
S00006,O00006,Shanghai,Sydney,CMA CGM,Sea,2024-01-02,2024-01-22,20,20,Delivered
S00007,O00007,Hamburg,Vancouver,CMA CGM,Sea,2024-02-09,2024-03-03,22,23,Delayed
S00008,O00008,Frankfurt,New York,DHL Aviation,Air,2024-01-24,2024-01-30,2,6,Delayed
S00009,O00009,Hamburg,Vancouver,COSCO,Sea,2024-03-08,2024-03-28,22,20,Delivered
S00010,O00010,Nhava Sheva,Houston,Maersk,Sea,2024-04-06,2024-05-05,30,29,Delivered
S00011,O00011,Singapore,Antwerp,COSCO,Sea,2024-04-02,2024-05-05,32,33,Delayed
S00012,O00012,Shanghai,Los Angeles,Evergreen,Sea,2024-02-28,2024-03-19,18,20,Delayed
S00013,O00013,Singapore,London,DHL Aviation,Air,2024-04-07,2024-04-11,2,4,Delayed
S00014,O00014,Hamburg,Vancouver,MSC,Sea,2024-04-04,2024-04-29,22,25,Delayed
S00015,O00015,Hamburg,Tokyo,Evergreen,Sea,2024-06-23,2024-07-20,28,27,Delivered
S00016,O00016,Singapore,Felixstowe,COSCO,Sea,2024-07-05,2024-08-09,34,35,Delayed
S00017,O00017,Busan,New York,CMA CGM,Sea,2024-06-12,2024-07-20,32,38,Delayed
S00018,O00018,Hamburg,Vancouver,Maersk,Sea,2024-02-28,2024-03-19,22,20,Delivered
S00019,O00019,Tokyo,Sydney,FedEx Logistics,Air,2024-01-17,2024-01-20,2,3,Delayed
S00020,O00020,Dubai,London,FedEx Logistics,Air,2024-02-24,2024-03-02,2,7,Delayed
S00021,O00021,Singapore,Antwerp,Hapag-Lloyd,Sea,2024-02-06,2024-03-11,32,34,Delayed
S00022,O00022,Hamburg,Antwerp,COSCO,Sea,2024-05-17,2024-05-24,5,7,Delayed
S00023,O00023,Busan,New York,COSCO,Sea,2024-04-12,2024-05-17,32,35,Delayed
S00024,O00024,Singapore,Felixstowe,COSCO,Sea,2024-05-06,2024-06-08,34,33,Delivered
S00025,O00025,Shanghai,New York,MSC,Sea,2024-06-09,2024-07-09,30,30,Delivered
S00026,O00026,Busan,New York,COSCO,Sea,2024-01-17,2024-02-22,32,36,Delayed
S00027,O00027,Busan,Sydney,COSCO,Sea,2024-03-05,2024-03-27,16,22,Delayed
S00028,O00028,Shanghai,Los Angeles,DHL Aviation,Air,2024-06-23,2024-07-02,3,9,Delayed
S00029,O00029,Singapore,Antwerp,CMA CGM,Sea,2024-01-29,2024-03-03,32,34,Delayed
S00030,O00030,Busan,Sydney,Maersk,Sea,2024-07-03,2024-07-21,16,18,Delayed
S00031,O00031,Singapore,London,DHL Aviation,Air,2024-06-09,2024-06-13,2,4,Delayed
S00032,O00032,Dubai,London,DHL Aviation,Air,2024-02-09,2024-02-14,2,5,Delayed
S00033,O00033,Nhava Sheva,Houston,COSCO,Sea,2024-01-01,2024-02-03,30,33,Delayed
S00034,O00034,Shanghai,New York,CMA CGM,Sea,2024-03-19,2024-04-19,30,31,Delayed
S00035,O00035,Shanghai,Sydney,Maersk,Sea,2024-01-22,2024-02-16,20,25,Delayed
S00036,O00036,Dubai,London,DHL Aviation,Air,2024-02-02,2024-02-09,2,7,Delayed
S00037,O00037,Singapore,London,FedEx Logistics,Air,2024-05-15,2024-05-21,2,6,Delayed
S00038,O00038,Dubai,London,DHL Aviation,Air,2024-07-01,2024-07-05,2,4,Delayed
S00039,O00039,Singapore,Antwerp,Evergreen,Sea,2024-04-05,2024-05-12,32,37,Delayed
S00040,O00040,Tokyo,Sydney,DHL Aviation,Air,2024-03-04,2024-03-07,2,3,Delayed
S00041,O00041,Shanghai,Los Angeles,COSCO,Sea,2024-05-21,2024-06-09,18,19,Delayed
S00042,O00042,Shanghai,Los Angeles,Maersk,Sea,2024-06-30,2024-07-16,18,16,Delivered
S00043,O00043,Shanghai,Los Angeles,CMA CGM,Sea,2024-01-19,2024-02-12,18,24,Delayed
S00044,O00044,Singapore,Antwerp,Hapag-Lloyd,Sea,2024-02-24,2024-04-02,32,38,Delayed
S00045,O00045,Shanghai,Sydney,COSCO,Sea,2024-05-01,2024-05-22,20,21,Delayed
S00046,O00046,Busan,New York,MSC,Sea,2024-01-25,2024-02-25,32,31,Delivered
S00047,O00047,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-04-15,2024-05-12,22,27,Delayed
S00048,O00048,Shanghai,Los Angeles,DHL Aviation,Air,2024-01-16,2024-01-23,3,7,Delayed
S00049,O00049,Shanghai,New York,MSC,Sea,2024-02-19,2024-03-21,30,31,Delayed
S00050,O00050,Singapore,Felixstowe,Hapag-Lloyd,Sea,2024-02-16,2024-03-23,34,36,Delayed
S00051,O00051,Shanghai,New York,Hapag-Lloyd,Sea,2024-05-20,2024-06-18,30,29,Delivered
S00052,O00052,Nhava Sheva,Houston,Maersk,Sea,2024-01-24,2024-02-24,30,31,Delayed
S00053,O00053,Busan,Sydney,Hapag-Lloyd,Sea,2024-02-24,2024-03-15,16,20,Delayed
S00054,O00054,Singapore,London,FedEx Logistics,Air,2024-01-01,2024-01-07,2,6,Delayed
S00055,O00055,Busan,Sydney,CMA CGM,Sea,2024-04-18,2024-05-10,16,22,Delayed
S00056,O00056,Busan,Sydney,MSC,Sea,2024-02-18,2024-03-07,16,18,Delayed
S00057,O00057,Shanghai,Los Angeles,COSCO,Sea,2024-07-07,2024-07-31,18,24,Delayed
S00058,O00058,Hamburg,Vancouver,Maersk,Sea,2024-01-13,2024-02-09,22,27,Delayed
S00059,O00059,Nhava Sheva,Houston,MSC,Sea,2024-01-15,2024-02-20,30,36,Delayed
S00060,O00060,Singapore,Felixstowe,Maersk,Sea,2024-06-01,2024-07-04,34,33,Delivered
S00061,O00061,Singapore,Los Angeles,Hapag-Lloyd,Sea,2024-01-31,2024-02-21,20,21,Delayed
S00062,O00062,Shanghai,Los Angeles,COSCO,Sea,2024-01-21,2024-02-12,18,22,Delayed
S00063,O00063,Shanghai,Sydney,COSCO,Sea,2024-03-21,2024-04-12,20,22,Delayed
S00064,O00064,Hamburg,Antwerp,CMA CGM,Sea,2024-03-02,2024-03-09,5,7,Delayed
